2026-08-01 15:37:11 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
Downloading [tokenizer.json]: 36.0MB [00:46, 820kB/s]
2026-08-02 03:06:13 Qwen/Qwen2.5-VL-7B-Instruct failed or disconnected; retrying after 60s
2026-08-02 03:07:13 starting or resuming Qwen/Qwen2.5-VL-7B-Instruct

 _   .-')                _ .-') _     ('-.             .-')                              _ (`-.    ('-.
( '.( OO )_             ( (  OO) )  _(  OO)           ( OO ).                           ( (OO  ) _(  OO)
 ,--.   ,--.).-'),-----. \     .'_ (,------.,--.     (_)---\_)   .-----.  .-'),-----.  _.`     \(,------.
 |   `.'   |( OO'  .-.  ',`'--..._) |  .---'|  |.-') /    _ |   '  .--./ ( OO'  .-.  '(__...--'' |  .---'
 |         |/   |  | |  ||  |  \  ' |  |    |  | OO )\  :` `.   |  |('-. /   |  | |  | |  /  | | |  |
 |  |'.'|  |\_) |  |\|  ||  |   ' |(|  '--. |  |`-' | '..`''.) /_) |OO  )\_) |  |\|  | |  |_.' |(|  '--.
 |  |   |  |  \ |  | |  ||  |   / : |  .--'(|  '---.'.-._)   \ ||  |`-'|   \ |  | |  | |  .___.' |  .--'
 |  |   |  |   `'  '-'  '|  '--'  / |  `---.|      | \       /(_'  '--'\    `'  '-'  ' |  |      |  `---.
 `--'   `--'     `-----' `-------'  `------'`------'  `-----'    `-----'      `-----'  `--'      `------'

Downloading Model from https://modelscope.cn to directory: /home/sm5/ys/FCS/models_v/Qwen2.5-VL-7B-Instruct
Processing 1 items:   0%|          | 0.00/1.00 [00:00<?, ?it/s]
Downloading [tokenizer.json]:   0%|          | 0.00/6.71M [00:00<?, ?B/s][A
Downloading [tokenizer.json]: 12.0MB [00:02, 6.05MB/s]                   [A
Downloading [tokenizer.json]: 18.0MB [00:04, 3.82MB/s][A
Downloading [tokenizer.json]: 24.0MB [00:09, 2.20MB/s][A
Downloading [tokenizer.json]: 30.0MB [00:19, 1.14MB/s][A
Downloading [tokenizer.json]: 30.0MB [00:29, 1.14MB/s][A
Downloading [tokenizer.json]: 36.0MB [00:36, 693kB/s] [AProcessing 1 items: 100%|██████████| 1.00/1.00 [00:40<00:00, 40.9s/it]Processing 1 items: 100%|██████████| 1.00/1.00 [00:40<00:00, 40.9s/it]
Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 571, in http_get_model_file
    r.raise_for_status()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/bin/modelscope", line 7, in <module>
    sys.exit(run_cmd())
             ^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/cli.py", line 49, in run_cmd
    cmd.execute()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/download.py", line 151, in execute
    snapshot_download(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 132, in snapshot_download
    return _snapshot_download(
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 335, in _snapshot_download
    _download_file_lists(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 586, in _download_file_lists
    _download_single_file(filtered_repo_files)
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/utils/thread_utils.py", line 66, in wrapper
    results.append(future.result())
                   ^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 449, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 401, in __get_result
    raise self._exception
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/thread.py", line 59, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 572, in _download_single_file
    download_file(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 697, in download_file
    file_digest = http_get_model_file(
                  ^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 584, in http_get_model_file
    retry = retry.increment('GET', url, error=e)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/urllib3/util/retry.py", line 519, in increment
    raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
urllib3.exceptions.MaxRetryError: None: Max retries exceeded with url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json (Caused by HTTPError('404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json'))
Downloading [tokenizer.json]: 36.0MB [00:41, 921kB/s]
2026-08-02 03:08:03 Qwen/Qwen2.5-VL-7B-Instruct failed or disconnected; retrying after 60s
2026-08-02 03:09:03 starting or resuming Qwen/Qwen2.5-VL-7B-Instruct

 _   .-')                _ .-') _     ('-.             .-')                              _ (`-.    ('-.
( '.( OO )_             ( (  OO) )  _(  OO)           ( OO ).                           ( (OO  ) _(  OO)
 ,--.   ,--.).-'),-----. \     .'_ (,------.,--.     (_)---\_)   .-----.  .-'),-----.  _.`     \(,------.
 |   `.'   |( OO'  .-.  ',`'--..._) |  .---'|  |.-') /    _ |   '  .--./ ( OO'  .-.  '(__...--'' |  .---'
 |         |/   |  | |  ||  |  \  ' |  |    |  | OO )\  :` `.   |  |('-. /   |  | |  | |  /  | | |  |
 |  |'.'|  |\_) |  |\|  ||  |   ' |(|  '--. |  |`-' | '..`''.) /_) |OO  )\_) |  |\|  | |  |_.' |(|  '--.
 |  |   |  |  \ |  | |  ||  |   / : |  .--'(|  '---.'.-._)   \ ||  |`-'|   \ |  | |  | |  .___.' |  .--'
 |  |   |  |   `'  '-'  '|  '--'  / |  `---.|      | \       /(_'  '--'\    `'  '-'  ' |  |      |  `---.
 `--'   `--'     `-----' `-------'  `------'`------'  `-----'    `-----'      `-----'  `--'      `------'

Downloading Model from https://modelscope.cn to directory: /home/sm5/ys/FCS/models_v/Qwen2.5-VL-7B-Instruct
Processing 1 items:   0%|          | 0.00/1.00 [00:00<?, ?it/s]
Downloading [tokenizer.json]:   0%|          | 0.00/6.71M [00:00<?, ?B/s][A
Downloading [tokenizer.json]: 12.0MB [00:04, 2.75MB/s]                   [A
Downloading [tokenizer.json]: 18.0MB [00:17, 913kB/s] [A
Downloading [tokenizer.json]: 24.0MB [00:24, 929kB/s][A
Downloading [tokenizer.json]: 30.0MB [00:35, 774kB/s][A
Downloading [tokenizer.json]: 30.0MB [00:49, 774kB/s][A
Downloading [tokenizer.json]: 36.0MB [00:52, 566kB/s][AProcessing 1 items: 100%|██████████| 1.00/1.00 [00:52<00:00, 52.9s/it]Processing 1 items: 100%|██████████| 1.00/1.00 [00:52<00:00, 52.9s/it]
Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 571, in http_get_model_file
    r.raise_for_status()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/bin/modelscope", line 7, in <module>
    sys.exit(run_cmd())
             ^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/cli.py", line 49, in run_cmd
    cmd.execute()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/download.py", line 151, in execute
    snapshot_download(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 132, in snapshot_download
    return _snapshot_download(
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 335, in _snapshot_download
    _download_file_lists(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 586, in _download_file_lists
    _download_single_file(filtered_repo_files)
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/utils/thread_utils.py", line 66, in wrapper
    results.append(future.result())
                   ^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 449, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 401, in __get_result
    raise self._exception
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/thread.py", line 59, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 572, in _download_single_file
    download_file(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 697, in download_file
    file_digest = http_get_model_file(
                  ^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 584, in http_get_model_file
    retry = retry.increment('GET', url, error=e)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/urllib3/util/retry.py", line 519, in increment
    raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
urllib3.exceptions.MaxRetryError: None: Max retries exceeded with url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json (Caused by HTTPError('404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json'))
Downloading [tokenizer.json]: 36.0MB [00:52, 712kB/s]
2026-08-02 03:10:11 Qwen/Qwen2.5-VL-7B-Instruct failed or disconnected; retrying after 60s
2026-08-02 03:11:11 starting or resuming Qwen/Qwen2.5-VL-7B-Instruct

 _   .-')                _ .-') _     ('-.             .-')                              _ (`-.    ('-.
( '.( OO )_             ( (  OO) )  _(  OO)           ( OO ).                           ( (OO  ) _(  OO)
 ,--.   ,--.).-'),-----. \     .'_ (,------.,--.     (_)---\_)   .-----.  .-'),-----.  _.`     \(,------.
 |   `.'   |( OO'  .-.  ',`'--..._) |  .---'|  |.-') /    _ |   '  .--./ ( OO'  .-.  '(__...--'' |  .---'
 |         |/   |  | |  ||  |  \  ' |  |    |  | OO )\  :` `.   |  |('-. /   |  | |  | |  /  | | |  |
 |  |'.'|  |\_) |  |\|  ||  |   ' |(|  '--. |  |`-' | '..`''.) /_) |OO  )\_) |  |\|  | |  |_.' |(|  '--.
 |  |   |  |  \ |  | |  ||  |   / : |  .--'(|  '---.'.-._)   \ ||  |`-'|   \ |  | |  | |  .___.' |  .--'
 |  |   |  |   `'  '-'  '|  '--'  / |  `---.|      | \       /(_'  '--'\    `'  '-'  ' |  |      |  `---.
 `--'   `--'     `-----' `-------'  `------'`------'  `-----'    `-----'      `-----'  `--'      `------'

Downloading Model from https://modelscope.cn to directory: /home/sm5/ys/FCS/models_v/Qwen2.5-VL-7B-Instruct
Processing 1 items:   0%|          | 0.00/1.00 [00:00<?, ?it/s]
Downloading [tokenizer.json]:   0%|          | 0.00/6.71M [00:00<?, ?B/s][A
Downloading [tokenizer.json]: 12.0MB [00:07, 1.73MB/s]                   [A
Downloading [tokenizer.json]: 18.0MB [00:11, 1.59MB/s][A
Downloading [tokenizer.json]: 24.0MB [00:16, 1.51MB/s][A
Downloading [tokenizer.json]: 30.0MB [00:27, 961kB/s] [A
Downloading [tokenizer.json]: 30.0MB [00:39, 961kB/s][A
Downloading [tokenizer.json]: 36.0MB [00:46, 575kB/s][AProcessing 1 items: 100%|██████████| 1.00/1.00 [00:48<00:00, 48.2s/it]Processing 1 items: 100%|██████████| 1.00/1.00 [00:48<00:00, 48.2s/it]
Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 571, in http_get_model_file
    r.raise_for_status()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/bin/modelscope", line 7, in <module>
    sys.exit(run_cmd())
             ^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/cli.py", line 49, in run_cmd
    cmd.execute()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/download.py", line 151, in execute
    snapshot_download(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 132, in snapshot_download
    return _snapshot_download(
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 335, in _snapshot_download
    _download_file_lists(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 586, in _download_file_lists
    _download_single_file(filtered_repo_files)
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/utils/thread_utils.py", line 66, in wrapper
    results.append(future.result())
                   ^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 449, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 401, in __get_result
    raise self._exception
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/thread.py", line 59, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 572, in _download_single_file
    download_file(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 697, in download_file
    file_digest = http_get_model_file(
                  ^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 584, in http_get_model_file
    retry = retry.increment('GET', url, error=e)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/urllib3/util/retry.py", line 519, in increment
    raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
urllib3.exceptions.MaxRetryError: None: Max retries exceeded with url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json (Caused by HTTPError('404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json'))
Downloading [tokenizer.json]: 36.0MB [00:48, 783kB/s]
2026-08-02 03:12:25 Qwen/Qwen2.5-VL-7B-Instruct failed or disconnected; retrying after 60s
2026-08-02 03:13:25 starting or resuming Qwen/Qwen2.5-VL-7B-Instruct

 _   .-')                _ .-') _     ('-.             .-')                              _ (`-.    ('-.
( '.( OO )_             ( (  OO) )  _(  OO)           ( OO ).                           ( (OO  ) _(  OO)
 ,--.   ,--.).-'),-----. \     .'_ (,------.,--.     (_)---\_)   .-----.  .-'),-----.  _.`     \(,------.
 |   `.'   |( OO'  .-.  ',`'--..._) |  .---'|  |.-') /    _ |   '  .--./ ( OO'  .-.  '(__...--'' |  .---'
 |         |/   |  | |  ||  |  \  ' |  |    |  | OO )\  :` `.   |  |('-. /   |  | |  | |  /  | | |  |
 |  |'.'|  |\_) |  |\|  ||  |   ' |(|  '--. |  |`-' | '..`''.) /_) |OO  )\_) |  |\|  | |  |_.' |(|  '--.
 |  |   |  |  \ |  | |  ||  |   / : |  .--'(|  '---.'.-._)   \ ||  |`-'|   \ |  | |  | |  .___.' |  .--'
 |  |   |  |   `'  '-'  '|  '--'  / |  `---.|      | \       /(_'  '--'\    `'  '-'  ' |  |      |  `---.
 `--'   `--'     `-----' `-------'  `------'`------'  `-----'    `-----'      `-----'  `--'      `------'

Downloading Model from https://modelscope.cn to directory: /home/sm5/ys/FCS/models_v/Qwen2.5-VL-7B-Instruct
Processing 1 items:   0%|          | 0.00/1.00 [00:00<?, ?it/s]
Downloading [tokenizer.json]:   0%|          | 0.00/6.71M [00:00<?, ?B/s][A
Downloading [tokenizer.json]: 12.0MB [00:00, 25.0MB/s]                   [A
Downloading [tokenizer.json]: 18.0MB [00:04, 3.83MB/s][A
Downloading [tokenizer.json]: 24.0MB [00:09, 1.96MB/s][A
Downloading [tokenizer.json]: 30.0MB [00:18, 1.27MB/s][A
Downloading [tokenizer.json]: 30.0MB [00:29, 1.27MB/s][A
Downloading [tokenizer.json]: 36.0MB [00:36, 676kB/s] [AProcessing 1 items: 100%|██████████| 1.00/1.00 [00:39<00:00, 39.0s/it]Processing 1 items: 100%|██████████| 1.00/1.00 [00:39<00:00, 39.0s/it]
Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 571, in http_get_model_file
    r.raise_for_status()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/bin/modelscope", line 7, in <module>
    sys.exit(run_cmd())
             ^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/cli.py", line 49, in run_cmd
    cmd.execute()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/download.py", line 151, in execute
    snapshot_download(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 132, in snapshot_download
    return _snapshot_download(
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 335, in _snapshot_download
    _download_file_lists(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 586, in _download_file_lists
    _download_single_file(filtered_repo_files)
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/utils/thread_utils.py", line 66, in wrapper
    results.append(future.result())
                   ^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 449, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 401, in __get_result
    raise self._exception
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/thread.py", line 59, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 572, in _download_single_file
    download_file(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 697, in download_file
    file_digest = http_get_model_file(
                  ^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 584, in http_get_model_file
    retry = retry.increment('GET', url, error=e)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/urllib3/util/retry.py", line 519, in increment
    raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
urllib3.exceptions.MaxRetryError: None: Max retries exceeded with url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json (Caused by HTTPError('404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json'))
Downloading [tokenizer.json]: 36.0MB [00:39, 965kB/s]
2026-08-02 03:14:11 Qwen/Qwen2.5-VL-7B-Instruct failed or disconnected; retrying after 60s
2026-08-02 03:15:11 starting or resuming Qwen/Qwen2.5-VL-7B-Instruct

 _   .-')                _ .-') _     ('-.             .-')                              _ (`-.    ('-.
( '.( OO )_             ( (  OO) )  _(  OO)           ( OO ).                           ( (OO  ) _(  OO)
 ,--.   ,--.).-'),-----. \     .'_ (,------.,--.     (_)---\_)   .-----.  .-'),-----.  _.`     \(,------.
 |   `.'   |( OO'  .-.  ',`'--..._) |  .---'|  |.-') /    _ |   '  .--./ ( OO'  .-.  '(__...--'' |  .---'
 |         |/   |  | |  ||  |  \  ' |  |    |  | OO )\  :` `.   |  |('-. /   |  | |  | |  /  | | |  |
 |  |'.'|  |\_) |  |\|  ||  |   ' |(|  '--. |  |`-' | '..`''.) /_) |OO  )\_) |  |\|  | |  |_.' |(|  '--.
 |  |   |  |  \ |  | |  ||  |   / : |  .--'(|  '---.'.-._)   \ ||  |`-'|   \ |  | |  | |  .___.' |  .--'
 |  |   |  |   `'  '-'  '|  '--'  / |  `---.|      | \       /(_'  '--'\    `'  '-'  ' |  |      |  `---.
 `--'   `--'     `-----' `-------'  `------'`------'  `-----'    `-----'      `-----'  `--'      `------'

Downloading Model from https://modelscope.cn to directory: /home/sm5/ys/FCS/models_v/Qwen2.5-VL-7B-Instruct
Processing 1 items:   0%|          | 0.00/1.00 [00:00<?, ?it/s]
Downloading [tokenizer.json]:   0%|          | 0.00/6.71M [00:00<?, ?B/s][A
Downloading [tokenizer.json]: 12.0MB [00:02, 5.69MB/s]                   [A
Downloading [tokenizer.json]: 18.0MB [00:04, 4.00MB/s][A
Downloading [tokenizer.json]: 24.0MB [00:09, 2.10MB/s][A
Downloading [tokenizer.json]: 30.0MB [00:19, 1.22MB/s][A
Downloading [tokenizer.json]: 30.0MB [00:29, 1.22MB/s][A
Downloading [tokenizer.json]: 36.0MB [00:35, 712kB/s] [AProcessing 1 items: 100%|██████████| 1.00/1.00 [00:40<00:00, 40.1s/it]Processing 1 items: 100%|██████████| 1.00/1.00 [00:40<00:00, 40.1s/it]
Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 571, in http_get_model_file
    r.raise_for_status()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 404 Client Error: Not Found for url: https://modelscope.cn/api/v1/models/Qwen/Qwen2.5-VL-7B-Instruct/repo?Revision=master&FilePath=tokenizer.json

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/sm5/anaconda3/envs/Factory/bin/modelscope", line 7, in <module>
    sys.exit(run_cmd())
             ^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/cli.py", line 49, in run_cmd
    cmd.execute()
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/cli/download.py", line 151, in execute
    snapshot_download(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 132, in snapshot_download
    return _snapshot_download(
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 335, in _snapshot_download
    _download_file_lists(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 586, in _download_file_lists
    _download_single_file(filtered_repo_files)
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/utils/thread_utils.py", line 66, in wrapper
    results.append(future.result())
                   ^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 449, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/_base.py", line 401, in __get_result
    raise self._exception
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/concurrent/futures/thread.py", line 59, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/snapshot_download.py", line 572, in _download_single_file
    download_file(
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 697, in download_file
    file_digest = http_get_model_file(
                  ^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/modelscope/hub/file_download.py", line 584, in http_get_model_file
    retry = retry.increment('GET', url, error=e)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sm5/anaconda3/envs/Factory/lib/python3.12/site-packages/urllib3/util/retry.py", line 519, in increment
    raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
